"title","star","co-star","director","sound","note"
"12monkeys","brucewillis","madeleinestowe","terrygilliam","dolby","&nbsp;"
"afish called wanda","johncleese","jamielee curtis","charlescrichton","stereo","3x4"
"atime to kill","matthewmcconaughey","sandrabullock","joel schumacher","ac-3","&nbsp;"
"avideo standard","demo/calibration","&nbsp;","joekane","dolby","&nbsp;"
"abovethe law","stevenseagal","pamgrier","andrewdavis","dolby","&nbsp;"
"absolutepower","clinteastwood","genehackman","clinteastwood","ac-3","&nbsp;"
"acrossthe pacific","humphreybogart","maryastor","johnhuston","mono","3x4"
"airforce one","harrisonford","garyoldman","wolfgangpeterson","ac-3","&nbsp;"
"alien","sigourneyweaver","tomskerritt","ridleyscott","ac-3/thx","&nbsp;"
"aliens","sigourneyweaver","carriehenn","jamescameron","ac-3/thx","&nbsp;"
"americanpresident","michaeldouglas","annettebening","robreiner","dolby","&nbsp;"
"andromedastrain","arthurhill","davidwayne","robertwise","stereo","&nbsp;"
"apocalypsenow","martinsheen","marlinbrando","francisford coppola","dolby","&nbsp;"
"apollo13","tomhanks","kevinbacon","ronhoward","dolby/thx","&nbsp;"
"badboys","martinlawrence","willsmith","michaelday","dolby","&nbsp;"
"bartonfink","johnturturro","johngoodman","joelcoen&nbsp;","ac-3","&nbsp;"
"basicinstinct","michaeldouglas","sharonstone","paulverhoeven","dolby","&nbsp;"
"bat21","genehackman","dannyglover","petermarkle","dolby","&nbsp;"
"beverlyhills cop","eddiemurphy","judgereinhold","martinbrest","dolby/thx","&nbsp;"
"blackrain","michaeldouglas","andygarcia","ridleyscott","dolby","&nbsp;"
"bladerunner","harrisonford","rutgerhauer","ridleyscott","dolby","&nbsp;"
"blink","madeleinestowe","aidanquinn","michaelapted","dolby","&nbsp;"
"bottlerocket","owenwilson","lukewilson","wesanderson","dolby","&nbsp;"
"braveheart","melgibson","patricmcgoohan","melgibson","ac-3/thx","&nbsp;"
"bulldurham","kevincostner","susansarandon","ronshelton","dolby","3x4"
"carlito'sway","alpacino","seanpenn","briandepalma","dolby/thx","&nbsp;"
"casablanca","humphreybogart","ingridbergman","michaelcurtiz","mono","&nbsp;"
